,0
-478219747,3349
-1650644512,2594
-1423826399,1732
1737783799,1559
-508778320,1291
-1529981054,1004
1444225095,800
1717005301,685
-508778319,676
-15145412,640
1003599808,457
556895996,457
-2056244297,424
1357579283,403
1928278287,381
425963000,378
-1650644511,351
-2094228156,338
1876845093,336
162407424,286
-583132445,255
-1149027317,247
988626449,247
1003599809,229
-1776992281,200
-885464575,195
1783575836,191
-741556962,191
1658162316,185
-367334230,175
582290211,175
-1690735466,163
-501865963,162
1207183683,156
394711555,145
-501865964,140
-373612538,130
470292453,130
-1416303248,123
461669222,121
1895734756,119
-478219748,118
-298812791,118
980512250,116
1339476150,115
687664872,115
1248733796,114
-1347982038,113
147100015,113
-1812643677,113
1613482014,112
917854260,110
1471593069,108
425963001,103
992830148,102
-1022652918,102
735267535,102
1978919762,101
-1657656591,100
-474653070,99
-1149027318,96
-54695261,95
1139241550,93
-1322011373,90
1597993969,89
-1768994025,88
1710696117,87
980512251,85
-393815370,84
-936509133,81
1435790678,81
-680647292,81
-508516481,78
-1637296839,77
272037092,77
-371063039,77
-578503274,77
871872632,77
-95417440,77
841368052,74
1001601800,72
-1585072309,72
1318542005,72
-91339324,71
-1163396107,70
-955524739,69
967865919,69
1680909364,69
1315943972,69
-939713733,69
-135345189,69
-1055020935,68
318587704,65
-603783276,63
-373841995,63
629613664,61
745792204,61
-420288303,59
-1892592891,59
304565913,57
1948603620,57
656244731,54
-281764946,54
-2146043048,52
-507782825,52
1252883221,52
85126276,51
-349977762,51
-995384916,51
430142510,50
-768035254,48
-2000809176,48
2113106990,48
-2050619198,48
-1296825714,47
2130395694,47
-1352364012,47
-1426767212,46
187003990,46
-129135162,46
1060122809,46
946887040,44
438976287,44
76430452,44
1579384238,44
-1060842613,44
1831783657,43
1844417085,43
-55970709,42
-1036113344,42
269449884,42
1910019988,41
1447104347,41
1673273621,40
1444293044,40
-1677303243,40
1865726752,40
-642929034,39
994257151,39
-33521222,39
1646737876,39
310803045,39
1905593024,39
109794124,39
1592794973,39
1883585931,38
498951039,38
-2045151618,38
1217534097,38
-1358276944,38
1579114511,38
1785050323,37
-472050348,37
1424672708,37
-1097403659,36
-107211917,36
222012133,36
1569949884,36
-1499653427,35
-550457173,35
-593153230,35
970675618,34
224295307,34
1981028555,34
1753434938,34
-1929960396,34
-142864732,34
-947403814,34
2043995608,33
-1670245332,33
-1258384129,33
499235316,33
-1259255457,33
-68514945,33
247746503,32
2145436192,32
1677221297,32
442088126,32
-1416295680,32
-955722207,32
554180839,32
710288975,32
-2039387064,31
1509024975,31
671583175,31
1166132857,31
-1877705153,31
29174584,31
336827622,31
-829901893,31
-297406323,31
